time,active_connections,app,cpu,cpu_temperature,disk_read_bytes,disk_usage_percent,disk_write_bytes,health_status,load_avg_15m,load_avg_1m,load_avg_5m,memory,network_recv_bytes,network_sent_bytes,process_count,response_time,thread_count,timestamp,uptime_seconds
2025-03-18T17:58:49.758408Z,4,service1,0.3,0.0,8238949376,0.3,7871488000,Healthy,0.14453125,0.1923828125,0.14208984375,18.6,1202,182,1,1562.0980262756348,2,2025-03-18T17:58:49.751262,66138.74763226509
2025-03-18T18:04:31.918543Z,4,service1,0.2,0.0,8379626496,0.3,7902605312,Healthy,0.1533203125,0.40966796875,0.2138671875,18.3,1812,182,1,1574.9804973602295,2,2025-03-18T18:04:31.912443,66467.9104475975
2025-03-18T18:06:46.456203Z,4,service2,0.2,0.0,8422118400,0.3,7904595968,Warning,0.13916015625,0.126953125,0.16259765625,18.3,1938,182,1,1787.989854812622,2,2025-03-18T18:06:46.446119,66597.4441974163
2025-03-18T18:37:35.933052Z,6,service1,0.3,0.0,8751133696,0.3,8072364032,Healthy,0.0361328125,0.00439453125,0.0263671875,18.6,15944,14840,1,1474.2786884307861,3,2025-03-18T18:37:35.928680,68374.92744612694
2025-03-18T18:37:37.068857Z,7,service1,0.3,0.0,8751309824,0.3,8072364032,Critical,0.0361328125,0.00439453125,0.0263671875,18.7,17340,16928,1,1639.1222476959229,4,2025-03-18T18:37:37.066822,68376.06617641449
2025-03-18T18:37:37.103050Z,6,service2,0.5,0.0,8751309824,0.3,8072364032,Critical,0.0361328125,0.00439453125,0.0263671875,18.7,16520,15570,1,1667.1772003173828,3,2025-03-18T18:37:37.095983,68376.09426474571
2025-03-18T18:37:37.962548Z,7,service1,0.8,0.0,8751309824,0.3,8072364032,Warning,0.0361328125,0.00439453125,0.0263671875,18.6,18361,18878,1,1314.1586780548096,4,2025-03-18T18:37:37.960687,68376.95990133286
2025-03-18T18:37:38.391506Z,7,service1,0.8,0.0,8751309824,0.3,8072364032,Healthy,0.03564453125,0.00390625,0.02587890625,18.6,19380,20826,1,1961.9147777557373,4,2025-03-18T18:37:38.389350,68377.38856172562
2025-03-18T18:37:38.436206Z,7,service2,0.8,0.0,8751309824,0.3,8072364032,Critical,0.03564453125,0.00390625,0.02587890625,18.6,18520,18199,1,1729.7677993774414,4,2025-03-18T18:37:38.434170,68377.43332028389
2025-03-18T18:37:39.430786Z,8,service1,0.7,0.0,8751309824,0.3,8072364032,Critical,0.03564453125,0.00390625,0.02587890625,18.6,20773,22912,1,1999.1490840911865,5,2025-03-18T18:37:39.427982,68378.42701339722
2025-03-18T18:37:39.586855Z,6,service2,0.3,0.0,8751309824,0.3,8072364032,Healthy,0.03564453125,0.00390625,0.02587890625,18.6,19777,20546,1,1478.0666828155518,3,2025-03-18T18:37:39.584269,68378.58308672905
2025-03-18T18:37:39.831511Z,7,service1,0.5,0.0,8751309824,0.3,8072364032,Warning,0.03564453125,0.00390625,0.02587890625,18.6,22157,25446,1,1804.671287536621,4,2025-03-18T18:37:39.829102,68378.82828426361
2025-03-18T18:37:39.870623Z,6,service1,0.6,0.0,8751309824,0.3,8072364032,Warning,0.03564453125,0.00390625,0.02587890625,18.6,22807,27250,1,1438.3656978607178,3,2025-03-18T18:37:39.868117,68378.86744427681
2025-03-18T18:37:40.120577Z,5,service1,0.7,0.0,8751309824,0.3,8072364032,Healthy,0.03564453125,0.00390625,0.02587890625,18.6,23457,29056,1,1548.0828285217285,2,2025-03-18T18:37:40.118243,68379.11745023727
2025-03-18T18:37:40.281816Z,5,service2,0.8,0.0,8751309824,0.3,8072364032,Warning,0.03564453125,0.00390625,0.02587890625,18.6,20427,22352,1,1848.099708557129,2,2025-03-18T18:37:40.279390,68379.27842211723
2025-03-18T18:37:41.770286Z,7,service2,0.6,0.0,8751309824,0.3,8072400896,Critical,0.03564453125,0.00390625,0.02587890625,18.6,22193,24576,1,1482.0406436920166,4,2025-03-18T18:37:41.768394,68380.76767873764
2025-03-18T18:37:42.405721Z,8,service2,0.6,0.0,8751309824,0.3,8072400896,Warning,0.03564453125,0.00390625,0.02587890625,18.6,23585,26664,1,1419.6536540985107,5,2025-03-18T18:37:42.403940,68381.40323758125
2025-03-18T18:37:42.651427Z,7,service2,0.8,0.0,8751309824,0.3,8072400896,Healthy,0.03564453125,0.00390625,0.02587890625,18.6,24864,29196,1,1465.3167724609375,4,2025-03-18T18:37:42.649486,68381.64878773689
2025-03-18T18:37:43.603805Z,6,service2,0.8,0.0,8751313920,0.3,8072450048,Healthy,0.041015625,0.083984375,0.04248046875,18.6,26121,31541,1,1381.9236755371094,3,2025-03-18T18:37:43.601934,68382.60111308098
2025-03-18T18:37:43.652914Z,5,service2,0.8,0.0,8751313920,0.3,8072450048,Healthy,0.041015625,0.083984375,0.04248046875,18.6,26771,33345,1,1714.0882015228271,2,2025-03-18T18:37:43.650982,68382.65029072762
2025-03-18T18:37:43.801764Z,6,service1,0.6,0.0,8751313920,0.3,8072450048,Healthy,0.041015625,0.083984375,0.04248046875,18.6,28033,34211,1,1439.0869140625,3,2025-03-18T18:37:43.799649,68382.79894804955
2025-03-18T18:37:44.052141Z,5,service1,0.3,0.0,8751313920,0.3,8072450048,Healthy,0.041015625,0.083984375,0.04248046875,18.6,28683,36009,1,1249.0754127502441,2,2025-03-18T18:37:44.050013,68383.0493555069
2025-03-18T18:37:45.246692Z,6,service2,0.4,0.0,8751313920,0.3,8072450048,Warning,0.041015625,0.083984375,0.04248046875,18.6,28152,35429,1,1522.9237079620361,3,2025-03-18T18:37:45.244839,68384.24416041374
2025-03-18T18:37:47.860746Z,8,service2,0.3,0.0,8751313920,0.3,8072503296,Critical,0.041015625,0.083984375,0.04248046875,18.6,30521,38192,1,3012.806177139282,5,2025-03-18T18:37:47.858918,68385.85826945305
2025-03-18T18:37:48.344933Z,7,service2,0.3,0.0,8751313920,0.3,8072503296,Healthy,0.041015625,0.083984375,0.04248046875,18.6,31171,39996,1,2538.1741523742676,4,2025-03-18T18:37:48.342960,68386.34216237068
2025-03-18T18:37:48.511510Z,6,service2,0.6,0.0,8751313920,0.3,8072503296,Healthy,0.041015625,0.083984375,0.04248046875,18.6,31821,41800,1,3242.3813343048096,3,2025-03-18T18:37:48.509716,68386.50908231735
2025-03-18T18:37:48.771231Z,7,service1,0.7,0.0,8751313920,0.3,8072503296,Warning,0.041015625,0.083984375,0.04248046875,18.6,32383,40035,1,3239.032983779907,4,2025-03-18T18:37:48.769267,68386.76858639717
2025-03-18T18:37:48.904341Z,6,service1,1.0,0.0,8751313920,0.3,8072503296,Critical,0.041015625,0.083984375,0.04248046875,18.6,33640,42376,1,2871.002435684204,3,2025-03-18T18:37:48.902289,68386.90163898468
2025-03-18T18:37:49.378986Z,7,service2,1.1,0.0,8751313920,0.3,8072503296,Critical,0.041015625,0.083984375,0.04248046875,18.6,33214,43884,1,2645.479202270508,4,2025-03-18T18:37:49.377262,68387.3766400814
2025-03-18T18:37:50.070217Z,7,service1,0.9,0.0,8751350784,0.3,8072503296,Warning,0.04052734375,0.0771484375,0.04150390625,18.6,35030,44460,1,1897.2225189208984,4,2025-03-18T18:37:50.068302,68388.06721496582
2025-03-18T18:37:50.430653Z,7,service2,1.3,0.0,8751371264,0.3,8072503296,Critical,0.04052734375,0.0771484375,0.04150390625,18.6,34865,46552,1,1695.9912776947021,4,2025-03-18T18:37:50.428760,68388.42807984352
